LOG:  database system was shut down at 2012-07-29 23:31:50 CEST
LOG:  database system is ready to accept connections
LOG:  autovacuum launcher started
LOG:  duration: 3126.049 ms  statement: select a, b from mb[1,1000000] error=2001 pinterval=1;
LOG:  duration: 3260.306 ms  statement: select a, b from mb[1,1000000] error=2501 pinterval=1;
LOG:  duration: 3249.425 ms  statement: select a, b from mb[1,1000000] error=3001 pinterval=1;
LOG:  duration: 3042.740 ms  statement: select a, b from mb[1,1000000] error=3501 pinterval=1;
LOG:  duration: 3036.333 ms  statement: select a, b from mb[1,1000000] error=4001 pinterval=1;
LOG:  duration: 3522.928 ms  statement: select a, b from mb[1,1000000] error=4501 pinterval=1;
LOG:  duration: 2977.111 ms  statement: select a, b from mb[1,1000000] error=5001 pinterval=1;
LOG:  duration: 2952.742 ms  statement: select a, b from mb[1,1000000] error=5501 pinterval=1;
LOG:  duration: 2933.152 ms  statement: select a, b from mb[1,1000000] error=6001 pinterval=1;
LOG:  duration: 2942.612 ms  statement: select a, b from mb[1,1000000] error=6501 pinterval=1;
LOG:  duration: 2940.948 ms  statement: select a, b from mb[1,1000000] error=7001 pinterval=1;
LOG:  duration: 2936.346 ms  statement: select a, b from mb[1,1000000] error=7501 pinterval=1;
LOG:  duration: 2899.673 ms  statement: select a, b from uk3 where a <1000000;
LOG:  duration: 3258.386 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1 qcache=0 func='avg';
LOG:  duration: 17132.974 ms  statement: select a/1, avg(b) from uk3 group by a/1;
LOG:  duration: 3399.305 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2 qcache=0 func='avg';
LOG:  duration: 11560.861 ms  statement: select a/2, avg(b) from uk3 group by a/2;
LOG:  duration: 2616.004 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4 qcache=0 func='avg';
LOG:  duration: 8998.047 ms  statement: select a/4, avg(b) from uk3 group by a/4;
LOG:  duration: 1567.803 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=8 qcache=0 func='avg';
LOG:  duration: 7634.171 ms  statement: select a/8, avg(b) from uk3 group by a/8;
LOG:  duration: 1079.210 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=16 qcache=0 func='avg';
LOG:  duration: 7015.626 ms  statement: select a/16, avg(b) from uk3 group by a/16;
LOG:  duration: 872.716 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=32 qcache=0 func='avg';
LOG:  duration: 6690.954 ms  statement: select a/32, avg(b) from uk3 group by a/32;
LOG:  duration: 770.480 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=48 qcache=0 func='avg';
LOG:  duration: 6919.070 ms  statement: select a/48, avg(b) from uk3 group by a/48;
LOG:  duration: 692.691 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=96 qcache=0 func='avg';
LOG:  duration: 6400.066 ms  statement: select a/96, avg(b) from uk3 group by a/96;
LOG:  duration: 702.673 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=144 qcache=0 func='avg';
LOG:  duration: 6507.023 ms  statement: select a/144, avg(b) from uk3 group by a/144;
LOG:  duration: 669.207 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=192 qcache=0 func='avg';
LOG:  duration: 6351.679 ms  statement: select a/192, avg(b) from uk3 group by a/192;
LOG:  duration: 652.223 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=240 qcache=0 func='avg';
LOG:  duration: 6604.942 ms  statement: select a/240, avg(b) from uk3 group by a/240;
LOG:  duration: 627.464 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=288 qcache=0 func='avg';
LOG:  duration: 6588.378 ms  statement: select a/288, avg(b) from uk3 group by a/288;
LOG:  duration: 636.209 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=336 qcache=0 func='avg';
LOG:  duration: 6400.427 ms  statement: select a/336, avg(b) from uk3 group by a/336;
LOG:  duration: 625.330 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=384 qcache=0 func='avg';
LOG:  duration: 6253.327 ms  statement: select a/384, avg(b) from uk3 group by a/384;
LOG:  duration: 627.913 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=432 qcache=0 func='avg';
LOG:  duration: 6362.017 ms  statement: select a/432, avg(b) from uk3 group by a/432;
LOG:  duration: 630.999 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=480 qcache=0 func='avg';
LOG:  duration: 6372.401 ms  statement: select a/480, avg(b) from uk3 group by a/480;
LOG:  duration: 621.506 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=528 qcache=0 func='avg';
LOG:  duration: 6415.538 ms  statement: select a/528, avg(b) from uk3 group by a/528;
LOG:  duration: 623.822 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=576 qcache=0 func='avg';
LOG:  duration: 6404.340 ms  statement: select a/576, avg(b) from uk3 group by a/576;
LOG:  duration: 648.191 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=624 qcache=0 func='avg';
LOG:  duration: 6431.232 ms  statement: select a/624, avg(b) from uk3 group by a/624;
LOG:  duration: 615.387 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=672 qcache=0 func='avg';
LOG:  duration: 6871.238 ms  statement: select a/672, avg(b) from uk3 group by a/672;
LOG:  duration: 625.429 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=720 qcache=0 func='avg';
LOG:  duration: 6414.890 ms  statement: select a/720, avg(b) from uk3 group by a/720;
LOG:  duration: 610.902 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=768 qcache=0 func='avg';
LOG:  duration: 6366.639 ms  statement: select a/768, avg(b) from uk3 group by a/768;
LOG:  duration: 636.650 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=816 qcache=0 func='avg';
LOG:  duration: 6392.436 ms  statement: select a/816, avg(b) from uk3 group by a/816;
LOG:  duration: 615.895 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=864 qcache=0 func='avg';
LOG:  duration: 6706.192 ms  statement: select a/864, avg(b) from uk3 group by a/864;
LOG:  duration: 617.692 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=912 qcache=0 func='avg';
LOG:  duration: 7998.845 ms  statement: select a/912, avg(b) from uk3 group by a/912;
LOG:  duration: 616.907 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=960 qcache=0 func='avg';
LOG:  duration: 6218.611 ms  statement: select a/960, avg(b) from uk3 group by a/960;
LOG:  duration: 631.041 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1008 qcache=0 func='avg';
LOG:  duration: 6688.862 ms  statement: select a/1008, avg(b) from uk3 group by a/1008;
LOG:  duration: 599.989 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1056 qcache=0 func='avg';
LOG:  duration: 6311.410 ms  statement: select a/1056, avg(b) from uk3 group by a/1056;
LOG:  duration: 624.566 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1104 qcache=0 func='avg';
LOG:  duration: 6458.916 ms  statement: select a/1104, avg(b) from uk3 group by a/1104;
LOG:  duration: 625.264 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1152 qcache=0 func='avg';
LOG:  duration: 6377.349 ms  statement: select a/1152, avg(b) from uk3 group by a/1152;
LOG:  duration: 623.288 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1200 qcache=0 func='avg';
LOG:  duration: 6441.370 ms  statement: select a/1200, avg(b) from uk3 group by a/1200;
LOG:  duration: 619.265 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1248 qcache=0 func='avg';
LOG:  duration: 6388.454 ms  statement: select a/1248, avg(b) from uk3 group by a/1248;
LOG:  duration: 627.981 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1296 qcache=0 func='avg';
LOG:  duration: 6460.664 ms  statement: select a/1296, avg(b) from uk3 group by a/1296;
LOG:  duration: 621.963 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1344 qcache=0 func='avg';
LOG:  duration: 6677.845 ms  statement: select a/1344, avg(b) from uk3 group by a/1344;
LOG:  duration: 617.798 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1392 qcache=0 func='avg';
LOG:  duration: 6865.099 ms  statement: select a/1392, avg(b) from uk3 group by a/1392;
LOG:  duration: 614.405 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1440 qcache=0 func='avg';
LOG:  duration: 6938.801 ms  statement: select a/1440, avg(b) from uk3 group by a/1440;
LOG:  duration: 784.073 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1488 qcache=0 func='avg';
LOG:  duration: 6945.794 ms  statement: select a/1488, avg(b) from uk3 group by a/1488;
LOG:  duration: 641.766 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1536 qcache=0 func='avg';
LOG:  duration: 8707.139 ms  statement: select a/1536, avg(b) from uk3 group by a/1536;
LOG:  duration: 687.332 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1584 qcache=0 func='avg';
LOG:  duration: 6770.841 ms  statement: select a/1584, avg(b) from uk3 group by a/1584;
LOG:  duration: 641.048 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1632 qcache=0 func='avg';
LOG:  duration: 6587.574 ms  statement: select a/1632, avg(b) from uk3 group by a/1632;
LOG:  duration: 683.874 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1680 qcache=0 func='avg';
LOG:  duration: 7001.925 ms  statement: select a/1680, avg(b) from uk3 group by a/1680;
LOG:  duration: 634.157 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1728 qcache=0 func='avg';
LOG:  duration: 6824.006 ms  statement: select a/1728, avg(b) from uk3 group by a/1728;
LOG:  duration: 653.677 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1776 qcache=0 func='avg';
LOG:  duration: 7169.579 ms  statement: select a/1776, avg(b) from uk3 group by a/1776;
LOG:  duration: 634.063 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1824 qcache=0 func='avg';
LOG:  duration: 6560.103 ms  statement: select a/1824, avg(b) from uk3 group by a/1824;
LOG:  duration: 653.065 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1872 qcache=0 func='avg';
LOG:  duration: 6835.945 ms  statement: select a/1872, avg(b) from uk3 group by a/1872;
LOG:  duration: 627.999 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1920 qcache=0 func='avg';
LOG:  duration: 6505.941 ms  statement: select a/1920, avg(b) from uk3 group by a/1920;
LOG:  duration: 641.563 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=1968 qcache=0 func='avg';
LOG:  duration: 6669.944 ms  statement: select a/1968, avg(b) from uk3 group by a/1968;
LOG:  duration: 704.153 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2016 qcache=0 func='avg';
LOG:  duration: 6737.444 ms  statement: select a/2016, avg(b) from uk3 group by a/2016;
LOG:  duration: 656.527 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2064 qcache=0 func='avg';
LOG:  duration: 6729.620 ms  statement: select a/2064, avg(b) from uk3 group by a/2064;
LOG:  duration: 621.095 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2112 qcache=0 func='avg';
LOG:  duration: 7016.667 ms  statement: select a/2112, avg(b) from uk3 group by a/2112;
LOG:  duration: 0.487 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2160 qcache=0 func='avg';
LOG:  duration: 6722.758 ms  statement: select a/2160, avg(b) from uk3 group by a/2160;
LOG:  duration: 0.446 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2208 qcache=0 func='avg';
LOG:  duration: 7516.131 ms  statement: select a/2208, avg(b) from uk3 group by a/2208;
LOG:  duration: 0.444 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2256 qcache=0 func='avg';
LOG:  duration: 6995.944 ms  statement: select a/2256, avg(b) from uk3 group by a/2256;
LOG:  duration: 0.387 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2304 qcache=0 func='avg';
LOG:  duration: 7823.312 ms  statement: select a/2304, avg(b) from uk3 group by a/2304;
LOG:  duration: 1.541 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2352 qcache=0 func='avg';
LOG:  duration: 7820.904 ms  statement: select a/2352, avg(b) from uk3 group by a/2352;
LOG:  duration: 1.170 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2400 qcache=0 func='avg';
LOG:  duration: 6311.047 ms  statement: select a/2400, avg(b) from uk3 group by a/2400;
LOG:  duration: 0.531 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2448 qcache=0 func='avg';
LOG:  duration: 6775.007 ms  statement: select a/2448, avg(b) from uk3 group by a/2448;
LOG:  duration: 0.503 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2496 qcache=0 func='avg';
LOG:  duration: 9218.268 ms  statement: select a/2496, avg(b) from uk3 group by a/2496;
LOG:  duration: 0.391 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2544 qcache=0 func='avg';
LOG:  duration: 7412.568 ms  statement: select a/2544, avg(b) from uk3 group by a/2544;
LOG:  duration: 0.385 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2592 qcache=0 func='avg';
LOG:  duration: 8235.540 ms  statement: select a/2592, avg(b) from uk3 group by a/2592;
LOG:  duration: 0.410 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2640 qcache=0 func='avg';
LOG:  duration: 6149.898 ms  statement: select a/2640, avg(b) from uk3 group by a/2640;
LOG:  duration: 0.487 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2688 qcache=0 func='avg';
LOG:  duration: 6981.709 ms  statement: select a/2688, avg(b) from uk3 group by a/2688;
LOG:  duration: 0.414 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2736 qcache=0 func='avg';
LOG:  duration: 6750.983 ms  statement: select a/2736, avg(b) from uk3 group by a/2736;
LOG:  duration: 0.389 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2784 qcache=0 func='avg';
LOG:  duration: 7006.107 ms  statement: select a/2784, avg(b) from uk3 group by a/2784;
LOG:  duration: 0.486 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2832 qcache=0 func='avg';
LOG:  duration: 6952.092 ms  statement: select a/2832, avg(b) from uk3 group by a/2832;
LOG:  duration: 0.429 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2880 qcache=0 func='avg';
LOG:  duration: 6981.919 ms  statement: select a/2880, avg(b) from uk3 group by a/2880;
LOG:  duration: 0.398 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2928 qcache=0 func='avg';
LOG:  duration: 6837.125 ms  statement: select a/2928, avg(b) from uk3 group by a/2928;
LOG:  duration: 0.466 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=2976 qcache=0 func='avg';
LOG:  duration: 6862.969 ms  statement: select a/2976, avg(b) from uk3 group by a/2976;
LOG:  duration: 0.625 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=3024 qcache=0 func='avg';
LOG:  duration: 6835.468 ms  statement: select a/3024, avg(b) from uk3 group by a/3024;
LOG:  duration: 0.417 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=3072 qcache=0 func='avg';
LOG:  duration: 6753.443 ms  statement: select a/3072, avg(b) from uk3 group by a/3072;
LOG:  duration: 0.466 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=3120 qcache=0 func='avg';
LOG:  duration: 7437.065 ms  statement: select a/3120, avg(b) from uk3 group by a/3120;
LOG:  duration: 0.405 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=3168 qcache=0 func='avg';
LOG:  duration: 6631.975 ms  statement: select a/3168, avg(b) from uk3 group by a/3168;
LOG:  duration: 0.400 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=3216 qcache=0 func='avg';
LOG:  duration: 6763.639 ms  statement: select a/3216, avg(b) from uk3 group by a/3216;
LOG:  duration: 0.395 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=3264 qcache=0 func='avg';
LOG:  duration: 6865.244 ms  statement: select a/3264, avg(b) from uk3 group by a/3264;
LOG:  duration: 0.403 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=3312 qcache=0 func='avg';
LOG:  duration: 6930.758 ms  statement: select a/3312, avg(b) from uk3 group by a/3312;
LOG:  duration: 0.799 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=3360 qcache=0 func='avg';
LOG:  duration: 6808.980 ms  statement: select a/3360, avg(b) from uk3 group by a/3360;
LOG:  duration: 0.493 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=3408 qcache=0 func='avg';
LOG:  duration: 7448.222 ms  statement: select a/3408, avg(b) from uk3 group by a/3408;
LOG:  duration: 0.437 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=3456 qcache=0 func='avg';
LOG:  duration: 6797.840 ms  statement: select a/3456, avg(b) from uk3 group by a/3456;
LOG:  duration: 0.413 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=3504 qcache=0 func='avg';
LOG:  duration: 6941.214 ms  statement: select a/3504, avg(b) from uk3 group by a/3504;
LOG:  duration: 0.402 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=3552 qcache=0 func='avg';
LOG:  duration: 6792.030 ms  statement: select a/3552, avg(b) from uk3 group by a/3552;
LOG:  duration: 0.407 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=3600 qcache=0 func='avg';
LOG:  duration: 6885.547 ms  statement: select a/3600, avg(b) from uk3 group by a/3600;
LOG:  duration: 0.435 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=3648 qcache=0 func='avg';
LOG:  duration: 7010.889 ms  statement: select a/3648, avg(b) from uk3 group by a/3648;
LOG:  duration: 0.418 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=3696 qcache=0 func='avg';
LOG:  duration: 6742.720 ms  statement: select a/3696, avg(b) from uk3 group by a/3696;
LOG:  duration: 0.374 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=3744 qcache=0 func='avg';
LOG:  duration: 7083.181 ms  statement: select a/3744, avg(b) from uk3 group by a/3744;
LOG:  duration: 0.417 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=3792 qcache=0 func='avg';
LOG:  duration: 7240.901 ms  statement: select a/3792, avg(b) from uk3 group by a/3792;
LOG:  duration: 0.744 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=3840 qcache=0 func='avg';
LOG:  duration: 7061.693 ms  statement: select a/3840, avg(b) from uk3 group by a/3840;
LOG:  duration: 0.408 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=3888 qcache=0 func='avg';
LOG:  duration: 6909.123 ms  statement: select a/3888, avg(b) from uk3 group by a/3888;
LOG:  duration: 0.398 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=3936 qcache=0 func='avg';
LOG:  duration: 6790.711 ms  statement: select a/3936, avg(b) from uk3 group by a/3936;
LOG:  duration: 0.418 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=3984 qcache=0 func='avg';
LOG:  duration: 6792.979 ms  statement: select a/3984, avg(b) from uk3 group by a/3984;
LOG:  duration: 0.458 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4032 qcache=0 func='avg';
LOG:  duration: 6661.918 ms  statement: select a/4032, avg(b) from uk3 group by a/4032;
LOG:  duration: 0.384 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4080 qcache=0 func='avg';
LOG:  duration: 6670.291 ms  statement: select a/4080, avg(b) from uk3 group by a/4080;
LOG:  duration: 0.511 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4128 qcache=0 func='avg';
LOG:  duration: 6634.296 ms  statement: select a/4128, avg(b) from uk3 group by a/4128;
LOG:  duration: 0.387 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4176 qcache=0 func='avg';
LOG:  duration: 6519.779 ms  statement: select a/4176, avg(b) from uk3 group by a/4176;
LOG:  duration: 0.388 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4224 qcache=0 func='avg';
LOG:  duration: 7025.445 ms  statement: select a/4224, avg(b) from uk3 group by a/4224;
LOG:  duration: 0.569 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4272 qcache=0 func='avg';
LOG:  duration: 6599.220 ms  statement: select a/4272, avg(b) from uk3 group by a/4272;
LOG:  duration: 664.955 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4320 qcache=0 func='avg';
LOG:  duration: 6539.010 ms  statement: select a/4320, avg(b) from uk3 group by a/4320;
LOG:  duration: 633.815 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4368 qcache=0 func='avg';
LOG:  duration: 6665.195 ms  statement: select a/4368, avg(b) from uk3 group by a/4368;
LOG:  duration: 650.535 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4416 qcache=0 func='avg';
LOG:  duration: 6642.492 ms  statement: select a/4416, avg(b) from uk3 group by a/4416;
LOG:  duration: 669.544 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4464 qcache=0 func='avg';
LOG:  duration: 6990.519 ms  statement: select a/4464, avg(b) from uk3 group by a/4464;
LOG:  duration: 624.661 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4512 qcache=0 func='avg';
LOG:  duration: 6621.244 ms  statement: select a/4512, avg(b) from uk3 group by a/4512;
LOG:  duration: 646.795 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4560 qcache=0 func='avg';
LOG:  duration: 6694.123 ms  statement: select a/4560, avg(b) from uk3 group by a/4560;
LOG:  duration: 636.957 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4608 qcache=0 func='avg';
LOG:  duration: 6689.456 ms  statement: select a/4608, avg(b) from uk3 group by a/4608;
LOG:  duration: 637.625 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4656 qcache=0 func='avg';
LOG:  duration: 6600.190 ms  statement: select a/4656, avg(b) from uk3 group by a/4656;
LOG:  duration: 633.191 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4704 qcache=0 func='avg';
LOG:  duration: 6575.050 ms  statement: select a/4704, avg(b) from uk3 group by a/4704;
LOG:  duration: 661.134 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4752 qcache=0 func='avg';
LOG:  duration: 6733.611 ms  statement: select a/4752, avg(b) from uk3 group by a/4752;
LOG:  duration: 634.789 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4800 qcache=0 func='avg';
LOG:  duration: 6903.805 ms  statement: select a/4800, avg(b) from uk3 group by a/4800;
LOG:  duration: 632.402 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4848 qcache=0 func='avg';
LOG:  duration: 6556.815 ms  statement: select a/4848, avg(b) from uk3 group by a/4848;
LOG:  duration: 680.566 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4896 qcache=0 func='avg';
LOG:  duration: 6856.643 ms  statement: select a/4896, avg(b) from uk3 group by a/4896;
LOG:  duration: 627.157 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4944 qcache=0 func='avg';
LOG:  duration: 6479.000 ms  statement: select a/4944, avg(b) from uk3 group by a/4944;
LOG:  duration: 630.877 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=4992 qcache=0 func='avg';
LOG:  duration: 6437.447 ms  statement: select a/4992, avg(b) from uk3 group by a/4992;
LOG:  duration: 639.073 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=5040 qcache=0 func='avg';
LOG:  duration: 6539.136 ms  statement: select a/5040, avg(b) from uk3 group by a/5040;
LOG:  duration: 668.557 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=5088 qcache=0 func='avg';
LOG:  duration: 6570.375 ms  statement: select a/5088, avg(b) from uk3 group by a/5088;
LOG:  duration: 646.232 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=5136 qcache=0 func='avg';
LOG:  duration: 6604.021 ms  statement: select a/5136, avg(b) from uk3 group by a/5136;
LOG:  duration: 648.088 ms  statement: select a, b from mb[1,1000000] error=1 pinterval=5184 qcache=0 func='avg';
